ip,port,result,classification,tls,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,broker_error,sys_topic_count,regular_topic_count,retained_count,publishers,timestamp
10.80.192.86,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738567
10.80.192.59,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.723093
10.80.192.59,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.737488
10.80.192.92,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.723340
10.80.192.92,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.740205
10.80.192.99,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725218
10.80.192.99,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738973
10.80.192.115,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.726545
10.80.192.115,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738934
10.80.192.57,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.724312
10.80.192.57,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739049
10.80.192.118,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725567
10.80.192.118,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.740555
10.80.192.70,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.723573
10.80.192.70,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739236
10.80.192.54,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725662
10.80.192.54,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739198
10.80.192.110,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.724364
10.80.192.110,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739334
10.80.192.68,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.727077
10.80.192.68,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739473
